DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3100.0,0.0655,2.6299,19.6965,4.8173,8.2226,8.6637,67.5442
3100.1,0.0669,2.6294,19.3109,4.7851,8.2248,8.6637,67.8434
3100.2,0.0681,2.6295,18.9309,4.6833,8.1745,8.6637,68.1851
3100.3,0.069,2.6298,19.23,4.561,8.0927,8.6637,68.5067
3100.4,0.0697,2.63,19.3024,4.5761,8.016,8.6637,68.7443
3100.5,0.0706,2.6299,20.3278,4.6124,7.9708,8.6637,69.0093
3100.6,0.0722,2.6292,22.2116,4.5219,7.9471,8.6637,69.3322
3100.7,0.0751,2.6277,22.6614,4.3518,7.9199,8.6637,69.8237
3100.8,0.08,2.6264,23.6739,4.1999,7.8521,8.6637,70.4331
3100.9,0.087,2.6254,25.1663,3.9331,7.7442,8.6637,71.0949
3101.0,0.0961,2.6242,27.8037,3.8133,7.6185,8.6637,71.7604
3101.1,0.1068,2.6222,30.4639,3.6765,7.5003,8.6637,72.3249
3101.2,0.1174,2.6178,33.7398,3.4551,7.4108,8.6637,72.8396
3101.3,0.1254,2.6093,36.3206,3.2714,7.3588,8.6637,73.3886
3101.4,0.129,2.5962,39.7114,2.9829,7.3485,8.6637,74.1615
3101.5,0.1283,2.5816,41.6376,2.5473,7.3814,8.6637,75.1088
3101.6,0.1256,2.5698,38.001,2.3103,7.4404,8.6637,76.3429
3101.7,0.1241,2.5635,34.4991,2.3093,7.5074,8.6637,77.3813
3101.8,0.1261,2.5614,32.143,2.3769,7.5619,8.6637,78.2591
3101.9,0.1318,2.5615,29.9852,2.373,7.5906,8.6637,79.0644
3102.0,0.139,2.5614,31.5956,2.3253,7.5853,8.6637,79.8155
3102.1,0.1452,2.5602,32.6119,2.1443,7.55,8.6637,80.5183
3102.2,0.1488,2.5584,35.0596,1.9331,7.5027,8.6638,81.7971
3102.3,0.1485,2.5567,37.2475,1.8021,7.4674,8.6749,82.8895
3102.4,0.1522,2.5556,39.2453,1.7233,7.4579,8.6637,83.7466
3102.5,0.1537,2.5555,41.1498,1.7183,7.4646,8.6637,84.4812
3102.6,0.1549,2.5562,40.7102,1.721,7.4825,8.6637,85.1134
3102.7,0.1558,2.557,40.7121,1.6858,7.5219,8.6637,85.609
3102.8,0.1577,2.5576,40.1038,1.6672,7.5909,8.6639,85.7895
3102.9,0.1592,2.5574,42.9114,1.666,7.6731,8.6864,85.9337
3103.0,0.1635,2.5562,44.0101,1.6459,7.7303,8.6976,86.0855
3103.1,0.1664,2.5539,43.5358,1.59,7.7351,8.6976,86.0833
3103.2,0.1665,2.5511,43.5968,1.5512,7.6875,8.6976,86.1224
3103.3,0.1641,2.5487,44.4584,1.518,7.6042,8.6976,86.3167
3103.4,0.1611,2.5477,45.064,1.5075,7.5235,8.6976,86.4636
3103.5,0.1596,2.5477,45.0516,1.5388,7.4865,8.6973,86.5817
3103.6,0.1628,2.5476,44.2451,1.5843,7.5061,8.6637,86.6557
3103.7,0.1664,2.5462,44.0669,1.5866,7.5479,8.6637,86.7261
3103.8,0.1706,2.5439,43.174,1.5652,7.5627,8.6639,86.7306
3103.9,0.1723,2.5419,44.2559,1.5477,7.5433,8.6861,86.5062
3104.0,0.1695,2.5409,45.2471,1.5382,7.5206,8.6638,86.2827
3104.1,0.1605,2.5406,44.9715,1.5683,7.5202,8.6749,85.8784
3104.2,0.1529,2.5409,44.7954,1.6041,7.5458,8.6637,84.6076
3104.3,0.1419,2.5428,42.1265,1.6432,7.5766,8.6637,83.3299
3104.4,0.132,2.5476,38.8785,1.7468,7.6047,8.6637,82.0641
3104.5,0.1259,2.554,34.9735,1.9737,7.6309,8.6637,80.9084
3104.6,0.125,2.5597,31.7847,2.1593,7.6544,8.6637,79.9393
3104.7,0.1279,2.5626,30.7319,2.1959,7.6778,8.6637,79.1226
3104.8,0.1314,2.5623,31.3247,2.1432,7.6942,8.6637,78.6149
3104.9,0.1331,2.5597,32.284,2.1062,7.7003,8.6637,78.1111
3105.0,0.1326,2.5567,31.7514,2.1128,7.686,8.6637,77.6294
3105.1,0.1314,2.5557,31.6381,2.14,7.6522,8.6637,77.725
3105.2,0.1309,2.5571,31.5013,2.1781,7.6059,8.6637,77.9184
3105.3,0.1315,2.5593,31.9778,2.1992,7.5654,8.6637,78.2061
3105.4,0.1321,2.5608,33.4906,2.2119,7.5505,8.6637,78.1715
3105.5,0.1322,2.5617,33.763,2.1809,7.5538,8.6637,78.2316
3105.6,0.132,2.563,34.4864,2.1144,7.5611,8.6637,78.4159
3105.7,0.1322,2.5659,35.1306,2.0876,7.5803,8.6637,78.6975
3105.8,0.1328,2.5701,36.0692,2.0688,7.621,8.6637,78.9696
3105.9,0.1329,2.5739,36.1278,2.0853,7.6753,8.6637,79.2188
3106.0,0.1319,2.5754,36.8778,2.111,7.7173,8.6637,79.6978
3106.1,0.1304,2.5741,36.4071,2.0853,7.7226,8.6637,79.8301
3106.2,0.1293,2.571,35.7,2.0775,7.6943,8.6637,79.29
3106.3,0.129,2.5685,35.2947,2.0945,7.6511,8.6637,79.08
3106.4,0.1294,2.5676,35.6206,2.1074,7.6135,8.6637,78.8498
3106.5,0.1296,2.5683,35.4923,2.1362,7.5933,8.6637,78.4315
3106.6,0.1295,2.5697,35.3521,2.1879,7.5829,8.6637,78.5182
3106.7,0.1295,2.5712,35.5823,2.1631,7.5762,8.6637,78.7165
3106.8,0.1302,2.5724,33.6534,2.1507,7.567,8.6637,78.8395
3106.9,0.1311,2.573,34.045,2.1891,7.5638,8.6637,79.1209
3107.0,0.131,2.5715,35.6212,2.1676,7.5644,8.6637,79.4095
