DEPTH,NPHI,RHOB,GR,RT,PEF,CALI
2600.0,,,25.3598,0.4076,,
2600.1,,,26.1959,0.4131,,
2600.2,,,27.6151,0.4149,,
2600.3,,,28.6235,0.4154,,
2600.4,,,26.6748,0.4174,,
2600.5,,,24.8817,0.4234,,
2600.6,,,27.3656,0.4338,,
2600.7,,,26.3274,0.4384,,
2600.8,,,25.4932,0.4446,,
2600.9,,,25.9331,0.443,,
2601.0,,,26.6129,0.4432,,
2601.1,,,28.1218,0.4423,,
2601.2,,,29.7402,0.4421,,
2601.3,,,28.9321,0.4429,,
2601.4,,,28.2789,0.4419,,
2601.5,,,27.9382,0.4384,,
2601.6,,,27.4742,0.4384,,
2601.7,,,26.9666,0.4384,,
2601.8,,,27.6606,0.4421,,
2601.9,,,28.1034,0.4406,,
2602.0,,,26.7178,0.4423,,
2602.1,,,26.1796,0.4407,,
2602.2,,,25.4675,0.4383,,
2602.3,,,24.5151,0.4387,,
2602.4,,,24.9543,0.4391,,
2602.5,,,26.2726,0.44,,
2602.6,,,27.1391,0.4468,,
2602.7,,,28.189,0.4478,,
2602.8,,,24.4096,0.4525,,
2602.9,,,23.6526,0.4637,,
2603.0,,,24.0571,0.4619,,
2603.1,,,26.0824,0.4602,,
2603.2,,,28.3682,0.4459,,
2603.3,,,26.8229,0.4216,,
2603.4,,,27.1786,0.3845,,
2603.5,,,28.6229,0.38,,
2603.6,,,26.2258,0.3896,,
2603.7,,,25.8199,0.3992,,
2603.8,,,26.2946,0.4218,,
2603.9,,,27.8421,0.4431,,
2604.0,,,30.0459,0.4337,,
2604.1,,,30.7013,0.402,,
2604.2,,,33.1344,0.3847,,
2604.3,,,33.1141,0.3816,,
2604.4,,,29.7374,0.388,,
2604.5,,,28.7504,0.3905,,
2604.6,,,28.46,0.3904,,
2604.7,,,27.8257,0.3782,,
2604.8,,,28.3826,0.3332,,
2604.9,,,30.1324,0.3296,,
2605.0,,,28.2862,0.345,,
2605.1,,,29.0716,0.3825,,
2605.2,,,26.7469,0.3908,,
2605.3,,,27.3431,0.3992,,
2605.4,,,27.6308,0.401,,
2605.5,,,27.1723,0.4069,,
2605.6,,,28.0955,0.3898,,
2605.7,,,30.2332,0.3831,,
2605.8,,,32.4085,0.3823,,
2605.9,,,29.7884,0.3809,,
2606.0,,,27.8383,0.3823,,
2606.1,,,28.33,0.3842,,
2606.2,,,29.5444,0.3852,,
2606.3,,,28.484,0.3855,,
2606.4,,,27.5305,0.3894,,
2606.5,,,25.3444,0.371,,
2606.6,,,25.144,0.3595,,
2606.7,,,25.0888,0.3575,,
2606.8,,,27.1084,0.3578,,
2606.9,,,31.612,0.3595,,
2607.0,,,31.2099,0.3636,,
2607.1,,,28.8113,0.3626,,
2607.2,,,27.3818,0.3611,,
2607.3,,,27.0373,0.3633,,
2607.4,,,26.2749,0.3648,,
2607.5,,,25.5537,0.368,,
2607.6,,,26.3258,0.3666,,
2607.7,,,24.2673,0.3652,,
2607.8,,,25.4822,0.3635,,
2607.9,,,25.8336,0.3613,,
2608.0,,,25.7707,0.3647,,
2608.1,,,27.1709,0.3644,,
2608.2,,,28.8378,0.3651,,
2608.3,,,28.467,0.3638,,
2608.4,,,28.2121,0.3624,,
2608.5,,,30.1545,0.3605,,
2608.6,,,29.2752,0.3595,,
2608.7,,,28.6277,0.3596,,
2608.8,,,28.2826,0.3588,,
2608.9,,,27.9043,0.3625,,
2609.0,,,27.5076,0.3657,,
2609.1,,,26.5973,0.3689,,
2609.2,,,26.9412,0.3669,,
2609.3,,,25.4063,0.3677,,
2609.4,,,26.0986,0.3693,,
2609.5,,,27.5337,0.3775,,
2609.6,,,28.6765,0.3827,,
2609.7,,,29.0423,0.3879,,
2609.8,,,27.6411,0.3943,,
2609.9,,,26.3025,0.4,,
2610.0,,,25.8624,0.4041,,
2610.1,,,27.4499,0.4047,,
2610.2,,,28.1374,0.4189,,
2610.3,,,27.8685,0.4271,,
2610.4,,,29.0886,0.4353,,
2610.5,,,29.2297,0.4345,,
2610.6,,,27.45,0.4307,,
2610.7,,,27.4905,0.4001,,
2610.8,,,27.3061,0.3681,,
2610.9,,,27.5866,0.3696,,
2611.0,,,29.3311,0.371,,
2611.1,,,28.5819,0.3722,,
2611.2,,,27.6368,0.3733,,
2611.3,,,26.0552,0.3195,,
2611.4,,,25.8474,0.2828,,
2611.5,,,26.5604,0.2708,,
2611.6,,,27.5949,0.2679,,
2611.7,,,28.8117,0.2678,,
2611.8,,,30.2857,0.2677,,
2611.9,,,31.1774,0.2737,,
2612.0,,,30.8204,0.2792,,
2612.1,,,29.5754,0.2826,,
2612.2,,,28.4503,0.2788,,
2612.3,,,28.9139,0.2735,,
2612.4,,,29.992,0.2705,,
2612.5,,,30.9328,0.2675,,
2612.6,,,31.5693,0.269,,
2612.7,,,31.8179,0.3093,,
2612.8,,,30.9951,0.4012,,
2612.9,,,30.102,0.4322,,
2613.0,,,30.5795,0.4422,,
2613.1,,,34.0593,0.4522,,
2613.2,,,40.7313,0.4702,,
2613.3,,,50.4755,0.4804,,
2613.4,,,60.1792,0.4872,,
2613.5,,,64.2893,0.5073,,
2613.6,,,60.5337,0.512,,
2613.7,,,59.7248,0.5125,,
2613.8,,,60.3065,0.513,,
2613.9,,,57.9934,0.5051,,
2614.0,,,56.7189,0.5064,,
2614.1,,,55.9131,0.5076,,
2614.2,,,57.3223,0.4969,,
2614.3,,,59.819,0.4628,,
2614.4,,,56.7572,0.4406,,
2614.5,,,58.3373,0.4343,,
2614.6,,,63.3002,0.4997,,
2614.7,,,61.4014,0.5446,,
2614.8,,,58.787,0.5896,,
2614.9,,,54.7062,0.6846,,
2615.0,,,49.6269,0.7847,,
2615.1,,,45.8169,0.8496,,
2615.2,,,45.1525,0.9325,,
2615.3,,,46.0443,1.3067,,
2615.4,,,47.4451,1.1418,,
2615.5,,,47.7193,0.8733,,
2615.6,,,48.653,0.7357,,
2615.7,,,50.9581,0.5955,,
2615.8,,,49.2026,0.6713,,
2615.9,,,48.6832,1.406,,
2616.0,,,45.6927,2.8844,,
2616.1,,,43.1995,6.2925,,
2616.2,,,40.6397,4.993,,
2616.3,,,33.4006,4.6697,,
2616.4,,,32.1098,4.7365,,
2616.5,,,31.5977,4.803,,
2616.6,,,32.4269,4.8025,,
2616.7,,,34.0857,3.8817,,
2616.8,,,34.163,2.7456,,
2616.9,,,33.9646,2.2152,,
2617.0,,,36.9029,1.8781,,
2617.1,,,41.5378,1.6332,,
2617.2,,,44.775,1.388,,
2617.3,,,48.4787,1.0242,,
2617.4,,,52.1471,0.8881,,
2617.5,,,55.2853,0.8005,,
2617.6,,,56.6942,0.7153,,
2617.7,,,59.9778,0.6942,,
2617.8,,,59.3145,0.6731,,
2617.9,,,57.929,0.6801,,
2618.0,,,56.8086,0.7584,,
2618.1,,,50.9548,0.787,,
2618.2,,,41.1595,0.6394,,
2618.3,,,37.6921,0.5754,,
2618.4,,,31.1407,0.5114,,
2618.5,,,26.1728,0.4746,,
