DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3200.0,0.153,2.477,8.628,1.883,8.205,8.703,72.656
3200.1,0.151,2.476,8.845,1.872,8.225,8.703,72.368
3200.2,0.147,2.474,8.977,1.861,8.201,8.75,72.123
3200.3,0.146,2.471,8.882,1.859,8.14,8.75,71.936
3200.4,0.146,2.468,8.28,1.862,8.085,8.719,71.801
3200.5,0.151,2.465,8.896,1.869,8.076,8.703,71.875
3200.6,0.152,2.462,8.835,1.872,8.118,8.703,71.926
3200.7,0.152,2.46,8.201,1.883,8.183,8.703,71.954
3200.8,0.149,2.458,8.253,1.899,8.222,8.703,72.005
3200.9,0.142,2.458,8.553,1.915,8.196,8.727,72.084
3201.0,0.139,2.46,8.726,1.935,8.118,8.727,72.197
3201.1,0.145,2.462,9.075,1.946,8.04,8.687,72.327
3201.2,0.147,2.465,9.211,1.963,8.002,8.672,72.39
3201.3,0.149,2.467,10.153,1.978,8.019,8.703,72.339
3201.4,0.152,2.47,10.635,2.002,8.077,8.703,72.219
3201.5,0.151,2.474,11.462,2.024,8.149,8.75,72.101
3201.6,0.152,2.48,10.528,2.07,8.203,8.75,72.011
3201.7,0.152,2.486,11.491,2.097,8.221,8.75,72.008
3201.8,0.15,2.49,12.467,2.115,8.211,8.75,72.075
3201.9,0.146,2.492,12.866,2.155,8.186,8.75,72.268
3202.0,0.145,2.494,13.979,2.18,8.156,8.727,72.399
3202.1,0.143,2.497,14.417,2.206,8.127,8.703,72.448
3202.2,0.143,2.501,14.299,2.238,8.108,8.703,72.295
3202.3,0.143,2.505,14.179,2.257,8.089,8.703,72.108
3202.4,0.143,2.505,13.344,2.261,8.073,8.703,71.948
3202.5,0.142,2.505,13.288,2.272,8.07,8.703,71.965
3202.6,0.138,2.506,13.007,2.269,8.098,8.727,72.141
3202.7,0.138,2.509,12.64,2.262,8.145,8.75,72.382
3202.8,0.14,2.512,13.627,2.259,8.166,8.75,72.526
3202.9,0.144,2.511,12.779,2.24,8.151,8.703,72.566
3203.0,0.146,2.506,11.53,2.206,8.119,8.703,72.525
3203.1,0.147,2.499,10.766,2.178,8.102,8.703,72.323
3203.2,0.147,2.491,11.009,2.159,8.091,8.703,72.109
3203.3,0.15,2.486,11.181,2.137,8.046,8.672,71.888
3203.4,0.148,2.484,11.403,2.108,7.975,8.703,71.69
3203.5,0.149,2.482,10.1,2.095,7.913,8.703,71.484
3203.6,0.149,2.48,9.267,2.073,7.886,8.703,71.272
3203.7,0.151,2.476,8.526,2.05,7.895,8.688,71.187
3203.8,0.149,2.471,7.956,2.028,7.9,8.703,71.1
3203.9,0.151,2.467,7.814,1.998,7.891,8.672,71.014
3204.0,0.15,2.466,8.835,1.973,7.888,8.672,70.846
3204.1,0.149,2.467,8.64,1.971,7.91,8.672,70.691
3204.2,0.147,2.472,7.38,1.988,7.961,8.703,70.559
3204.3,0.147,2.477,8.053,1.991,8.012,8.703,70.414
3204.4,0.147,2.479,7.572,1.993,8.033,8.703,70.317
