DEPTH,NPHI,RHOB,GR,RT,PEF,CALI
2620.0,,,40.692,0.416,,
2620.1,,,43.255,0.461,,
2620.2,,,51.528,0.54,,
2620.3,,,63.622,0.713,,
2620.4,,,75.288,0.866,,
2620.5,,,84.527,0.931,,
2620.6,,,89.369,0.928,,
2620.7,,,89.47,0.937,,
2620.8,,,87.745,0.959,,
2620.9,,,85.538,0.894,,
2621.0,,,78.168,0.763,,
2621.1,,,71.678,0.674,,
2621.2,,,64.878,0.577,,
2621.3,,,56.653,0.439,,
2621.4,,,54.29,0.43,,
2621.5,,,54.872,0.5,,
2621.6,,,58.322,0.547,,
2621.7,,,58.999,0.501,,
2621.8,,,56.348,0.456,,
2621.9,,,61.685,0.57,,
2622.0,,,70.552,0.646,,
2622.1,,,75.683,0.7,,
2622.2,,,77.726,0.729,,
2622.3,,,79.879,0.667,,
2622.4,,,78.351,0.644,,
2622.5,,,78.029,0.693,,
2622.6,,,83.296,0.777,,
2622.7,,,85.668,0.754,,
2622.8,,,81.161,0.731,,
2622.9,,,72.74,0.656,,
2623.0,,,66.934,0.669,,
2623.1,,,66.593,0.71,,
2623.2,,,62.701,0.736,,
2623.3,,,53.206,0.775,,
2623.4,,,44.947,0.788,,
2623.5,,,39.616,0.802,,
2623.6,,,40.049,0.778,,
2623.7,,,38.798,0.722,,
2623.8,,,40.413,0.59,,
2623.9,,,39.758,0.491,,
2624.0,,,35.022,0.478,,
2624.1,,,32.326,0.456,,
2624.2,,,31.264,0.444,,
2624.3,,,31.654,0.421,,
2624.4,,,30.457,0.412,,
2624.5,,,29.355,0.415,,
2624.6,,,28.939,0.417,,
2624.7,,,29.42,0.416,,
2624.8,,,28.339,0.404,,
2624.9,,,27.249,0.395,,
2625.0,,,27.692,0.393,,
2625.1,,,28.038,0.395,,
2625.2,,,26.01,0.397,,
2625.3,,,26.503,0.4,,
2625.4,,,28.315,0.403,,
2625.5,,,30.244,0.406,,
2625.6,,,28.697,0.409,,
2625.7,,,28.508,0.414,,
2625.8,,,29.788,0.416,,
2625.9,,,29.344,0.418,,
2626.0,,,27.884,0.422,,
2626.1,,,27.532,0.424,,
2626.2,,,31.538,0.424,,
2626.3,,,33.093,0.428,,
2626.4,,,29.395,0.433,,
2626.5,,,26.669,0.433,,
2626.6,,,27.505,0.422,,
2626.7,,,29.704,0.414,,
2626.8,,,28.949,0.417,,
2626.9,,,28.169,0.42,,
2627.0,,,28.128,0.423,,
2627.1,,,27.084,0.425,,
2627.2,,,28.035,0.428,,
2627.3,,,28.386,0.433,,
2627.4,,,30.818,0.435,,
2627.5,,,29.907,0.436,,
2627.6,,,30.247,0.439,,
2627.7,,,28.852,0.44,,
2627.8,,,28.169,0.443,,
2627.9,,,29.071,0.446,,
2628.0,,,30.924,0.447,,
2628.1,,,31.164,0.45,,
2628.2,,,29.424,0.446,,
2628.3,,,28.668,0.448,,
2628.4,,,29.098,0.449,,
2628.5,,,28.972,0.45,,
2628.6,,,26.798,0.452,,
2628.7,,,28.259,0.454,,
2628.8,,,27.929,0.452,,
2628.9,,,27.51,0.453,,
2629.0,,,28.294,0.453,,
2629.1,,,30.554,0.454,,
2629.2,,,30.315,0.454,,
2629.3,,,29.094,0.454,,
2629.4,,,28.441,0.454,,
2629.5,,,28.59,0.457,,
2629.6,,,27.824,0.459,,
2629.7,,,27.146,0.459,,
2629.8,,,28.947,0.458,,
2629.9,,,29.078,0.46,,
2630.0,,,26.931,0.459,,
2630.1,,,26.758,0.461,,
2630.2,,,26.624,0.464,,
2630.3,,,27.429,0.463,,
2630.4,,,26.131,0.463,,
2630.5,,,25.727,0.46,,
2630.6,,,26.384,0.458,,
2630.7,,,24.924,0.457,,
2630.8,,,29.507,0.456,,
2630.9,,,28.899,0.458,,
2631.0,,,30.105,0.458,,
2631.1,,,30.362,0.457,,
2631.2,,,27.284,0.46,,
2631.3,,,29.164,0.466,,
2631.4,,,27.943,0.473,,
2631.5,,,28.491,0.473,,
2631.6,,,30.749,0.473,,
2631.7,,,29.187,0.474,,
2631.8,,,27.885,0.474,,
2631.9,,,27.299,0.475,,
2632.0,,,28.805,0.476,,
2632.1,,,29.383,0.479,,
2632.2,,,27.599,0.486,,
2632.3,,,29.717,0.503,,
2632.4,,,30.803,0.493,,
2632.5,,,29.236,0.486,,
2632.6,,,29.125,0.486,,
2632.7,,,30.214,0.494,,
2632.8,,,29.485,0.499,,
2632.9,,,28.806,0.498,,
2633.0,,,26.914,0.497,,
2633.1,,,26.727,0.5,,
2633.2,,,28.191,0.499,,
2633.3,,,27.601,0.502,,
2633.4,,,27.929,0.505,,
2633.5,,,29.805,0.504,,
2633.6,,,30.283,0.512,,
2633.7,,,30.592,0.515,,
2633.8,,,29.52,0.517,,
2633.9,,,27.672,0.519,,
2634.0,,,28.307,0.521,,
2634.1,,,27.639,0.523,,
2634.2,,,27.793,0.525,,
2634.3,,,28.436,0.527,,
2634.4,,,28.0,0.527,,
2634.5,,,26.764,0.528,,
2634.6,,,26.515,0.528,,
2634.7,,,28.252,0.528,,
2634.8,,,30.195,0.534,,
2634.9,,,29.753,0.538,,
2635.0,,,30.333,0.539,,
2635.1,,,30.15,0.545,,
2635.2,,,29.872,0.544,,
2635.3,,,31.229,0.548,,
2635.4,,,31.099,0.549,,
2635.5,,,30.35,0.55,,
2635.6,,,28.367,0.548,,
2635.7,,,28.751,0.55,,
2635.8,,,29.681,0.555,,
2635.9,,,28.682,0.561,,
2636.0,,,27.745,0.562,,
2636.1,,,27.323,0.563,,
2636.2,,,27.256,0.565,,
2636.3,,,27.943,0.569,,
2636.4,,,30.879,0.575,,
2636.5,,,29.256,0.577,,
2636.6,,,26.87,0.578,,
2636.7,,,27.122,0.579,,
2636.8,,,29.802,0.581,,
2636.9,,,31.661,0.584,,
2637.0,,,32.691,0.59,,
2637.1,,,32.295,0.598,,
2637.2,,,33.578,0.611,,
2637.3,,,34.474,0.634,,
2637.4,,,31.245,0.657,,
2637.5,,,28.683,0.665,,
2637.6,,,27.158,0.674,,
2637.7,,,23.906,0.679,,
2637.8,,,25.761,0.684,,
2637.9,,,27.566,0.671,,
2638.0,,,28.482,0.659,,
2638.1,,,34.481,0.644,,
2638.2,,,40.3,0.623,,
2638.3,,,44.852,0.577,,
2638.4,,,57.856,0.513,,
2638.5,,,68.243,0.504,,
2638.6,,,75.071,0.502,,
2638.7,,,78.292,0.511,,
2638.8,,,82.714,0.562,,
2638.9,,,82.502,0.632,,
2639.0,,,82.003,0.671,,
2639.1,,,79.467,0.691,,
2639.2,,,72.774,0.683,,
2639.3,,,66.33,0.651,,
2639.4,,,58.845,0.518,,
2639.5,,,51.38,0.519,,
2639.6,,,51.647,0.534,,
2639.7,,,56.393,0.568,,
2639.8,,,65.286,0.632,,
2639.9,,,68.637,0.695,,
2640.0,,,73.884,0.758,,
2640.1,,,81.66,0.839,,
2640.2,,,81.407,0.872,,
2640.3,,,80.508,0.878,,
2640.4,,,84.028,0.877,,
2640.5,,,84.261,0.88,,
2640.6,,,86.467,0.889,,
2640.7,,,90.882,0.872,,
2640.8,,,91.699,0.884,,
2640.9,,,94.532,0.899,,
2641.0,,,94.114,0.898,,
2641.1,,,94.273,0.888,,
2641.2,,,96.645,0.881,,
2641.3,,,97.696,0.922,,
2641.4,,,97.667,0.966,,
2641.5,,,89.794,1.042,,
2641.6,,,84.316,1.052,,
2641.7,,,75.517,0.953,,
2641.8,,,67.47,0.756,,
2641.9,,,59.991,0.615,,
2642.0,,,53.247,0.594,,
2642.1,,,50.938,0.57,,
2642.2,,,50.779,0.524,,
2642.3,,,53.121,0.556,,
2642.4,,,58.474,0.694,,
2642.5,,,61.106,0.833,,
2642.6,,,65.748,0.927,,
2642.7,,,72.673,0.99,,
2642.8,,,72.422,0.917,,
2642.9,,,69.544,0.847,,
2643.0,,,64.37,0.765,,
2643.1,,,60.799,0.707,,
2643.2,,,55.61,0.656,,
2643.3,,,43.721,0.565,,
2643.4,,,42.155,0.522,,
2643.5,,,44.717,0.53,,
2643.6,,,49.216,0.553,,
2643.7,,,55.032,0.563,,
2643.8,,,58.497,0.57,,
2643.9,,,65.783,0.586,,
2644.0,,,72.57,0.61,,
2644.1,,,75.378,0.607,,
2644.2,,,76.958,0.603,,
2644.3,,,75.982,0.602,,
2644.4,,,74.785,0.571,,
2644.5,,,76.623,0.566,,
2644.6,,,80.07,0.565,,
2644.7,,,81.013,0.574,,
2644.8,,,84.5,0.574,,
2644.9,,,87.984,0.567,,
2645.0,,,88.803,0.57,,
2645.1,,,89.941,0.564,,
2645.2,,,90.074,0.558,,
2645.3,,,92.738,0.547,,
2645.4,,,91.254,0.538,,
2645.5,,,89.947,0.529,,
2645.6,,,86.922,0.518,,
2645.7,,,86.225,0.522,,
2645.8,,,81.286,0.543,,
2645.9,,,75.622,0.587,,
2646.0,,,71.568,0.6,,
2646.1,,,70.945,0.588,,
2646.2,,,72.521,0.544,,
2646.3,,,71.686,0.549,,
2646.4,,,71.439,0.57,,
2646.5,,,71.812,0.577,,
2646.6,,,74.615,0.586,,
2646.7,,,76.135,0.592,,
2646.8,,,78.817,0.604,,
2646.9,,,83.258,0.604,,
2647.0,,,81.085,0.608,,
2647.1,,,78.762,0.621,,
2647.2,,,73.975,0.643,,
2647.3,,,69.355,0.626,,
2647.4,,,59.754,0.587,,
2647.5,,,53.754,0.529,,
2647.6,,,51.991,0.519,,
2647.7,,,52.666,0.504,,
2647.8,,,51.37,0.504,,
2647.9,,,50.818,0.512,,
2648.0,,,49.262,0.508,,
2648.1,,,46.555,0.479,,
2648.2,,,47.905,0.499,,
2648.3,,,45.053,0.568,,
2648.4,,,47.701,0.661,,
2648.5,,,58.092,0.702,,
2648.6,,,68.195,0.705,,
2648.7,,,77.482,0.691,,
2648.8,,,87.439,0.672,,
2648.9,,,89.95,0.664,,
2649.0,,,92.352,0.629,,
2649.1,,,90.483,0.629,,
2649.2,,,82.039,0.679,,
2649.3,,,74.626,0.748,,
2649.4,,,73.537,0.749,,
2649.5,,,72.81,0.758,,
2649.6,,,72.674,0.729,,
2649.7,,,73.229,0.657,,
2649.8,,,76.557,0.63,,
2649.9,,,77.802,0.618,,
2650.0,,,77.433,0.625,,
2650.1,,,77.246,0.668,,
2650.2,,,78.03,0.716,,
2650.3,,,75.357,0.841,,
2650.4,,,68.624,1.065,,
2650.5,,,62.88,1.177,,
2650.6,,,64.475,1.308,,
2650.7,,,68.178,1.147,,
2650.8,,,75.796,0.81,,
2650.9,,,83.67,0.687,,
2651.0,,,81.627,0.677,,
2651.1,,,73.67,0.811,,
2651.2,,,60.522,1.377,,
2651.3,,,51.394,1.897,,
2651.4,,,51.791,2.485,,
2651.5,,,56.077,2.541,,
2651.6,,,60.029,1.685,,
2651.7,,,61.118,1.234,,
2651.8,,,61.405,1.247,,
2651.9,,,58.372,1.349,,
2652.0,,,59.922,1.189,,
2652.1,,,66.603,0.899,,
2652.2,,,71.28,0.727,,
2652.3,,,75.913,0.697,,
2652.4,,,70.698,0.714,,
2652.5,,,61.756,0.778,,
2652.6,,,54.705,0.788,,
2652.7,,,49.103,0.74,,
2652.8,,,45.182,0.667,,
2652.9,,,45.74,0.645,,
2653.0,,,50.439,0.68,,
2653.1,,,53.006,0.739,,
2653.2,,,54.558,0.718,,
2653.3,,,58.611,0.719,,
2653.4,,,56.298,0.722,,
2653.5,,,51.295,0.727,,
2653.6,,,48.717,0.629,,
2653.7,,,48.542,0.603,,
2653.8,,,48.985,0.64,,
2653.9,,,47.758,0.657,,
2654.0,,,44.876,0.737,,
2654.1,,,44.06,0.717,,
2654.2,,,41.803,0.581,,
2654.3,,,40.784,0.468,,
2654.4,,,42.901,0.431,,
2654.5,,,44.979,0.483,,
2654.6,,,49.746,0.607,,
2654.7,,,54.543,0.688,,
2654.8,,,60.701,0.721,,
2654.9,,,61.18,0.711,,
2655.0,,,63.615,0.676,,
2655.1,,,67.564,0.63,,
2655.2,,,69.318,0.58,,
2655.3,,,66.497,0.53,,
2655.4,,,62.587,0.532,,
2655.5,,,57.473,0.578,,
2655.6,,,56.519,0.594,,
2655.7,,,58.698,0.591,,
2655.8,,,59.977,0.594,,
2655.9,,,57.034,0.593,,
2656.0,,,53.995,0.595,,
2656.1,,,54.85,0.63,,
2656.2,,,54.764,0.644,,
2656.3,,,52.223,0.642,,
2656.4,,,50.77,0.661,,
2656.5,,,52.758,0.697,,
2656.6,,,51.863,0.685,,
2656.7,,,48.663,0.66,,
2656.8,,,46.958,0.678,,
2656.9,,,46.472,0.728,,
2657.0,,,43.349,0.748,,
2657.1,,,41.778,0.715,,
2657.2,,,39.485,0.663,,
2657.3,,,37.143,0.595,,
2657.4,,,37.769,0.581,,
2657.5,,,38.618,0.59,,
2657.6,,,40.638,0.614,,
2657.7,,,40.228,0.646,,
2657.8,,,41.057,0.653,,
2657.9,,,41.578,0.633,,
2658.0,,,39.683,0.519,,
2658.1,,,40.992,0.462,,
2658.2,,,41.266,0.434,,
2658.3,,,37.49,0.378,,
2658.4,,,37.228,0.351,,
2658.5,,,37.608,0.363,,
2658.6,,,36.91,0.374,,
2658.7,,,37.684,0.372,,
2658.8,,,37.815,0.38,,
2658.9,,,37.862,0.404,,
2659.0,,,38.191,0.461,,
2659.1,,,39.451,0.517,,
2659.2,,,39.82,0.536,,
2659.3,,,40.463,0.543,,
2659.4,,,39.391,0.487,,
2659.5,,,37.612,0.453,,
2659.6,,,37.073,0.436,,
2659.7,,,37.02,0.425,,
2659.8,,,35.001,0.426,,
2659.9,,,34.14,0.428,,
2660.0,,,34.666,0.429,,
2660.1,,,33.404,0.424,,
2660.2,,,33.686,0.416,,
2660.3,,,33.572,0.406,,
2660.4,,,33.009,0.403,,
2660.5,,,32.962,0.403,,
2660.6,,,33.521,0.408,,
2660.7,,,32.73,0.415,,
2660.8,,,33.376,0.42,,
2660.9,,,33.524,0.416,,
2661.0,,,33.774,0.408,,
2661.1,,,31.48,0.403,,
2661.2,,,31.618,0.394,,
2661.3,,,31.321,0.387,,
2661.4,,,30.904,0.38,,
2661.5,,,34.731,0.383,,
2661.6,,,40.093,0.414,,
2661.7,,,43.092,0.515,,
2661.8,,,42.188,0.645,,
2661.9,,,43.829,0.661,,
2662.0,,,48.343,0.674,,
2662.1,,,49.877,0.743,,
2662.2,,,51.349,0.915,,
2662.3,,,51.952,0.976,,
2662.4,,,55.587,0.951,,
2662.5,,,56.369,0.93,,
2662.6,,,55.269,0.888,,
2662.7,,,53.218,0.833,,
2662.8,,,53.306,0.811,,
2662.9,,,56.366,0.707,,
2663.0,,,51.96,0.637,,
2663.1,,,48.207,0.509,,
2663.2,,,45.215,0.429,,
2663.3,,,44.032,0.436,,
2663.4,,,44.535,0.492,,
2663.5,,,47.153,0.519,,
2663.6,,,46.326,0.517,,
2663.7,,,45.922,0.578,,
2663.8,,,45.751,0.592,,
2663.9,,,47.709,0.602,,
2664.0,,,48.986,0.609,,
2664.1,,,53.864,0.521,,
2664.2,,,57.361,0.435,,
2664.3,,,55.651,0.405,,
2664.4,,,46.394,0.41,,
2664.5,,,43.268,0.44,,
2664.6,,,40.154,0.501,,
2664.7,,,41.63,0.541,,
2664.8,,,43.46,0.598,,
2664.9,,,42.506,0.609,,
2665.0,,,43.247,0.596,,
2665.1,,,44.931,0.571,,
2665.2,,,46.561,0.554,,
2665.3,,,44.052,0.531,,
2665.4,,,44.144,0.509,,
2665.5,,,42.437,0.518,,
2665.6,,,41.166,0.556,,
2665.7,,,40.573,0.543,,
2665.8,,,39.15,0.527,,
2665.9,,,39.271,0.523,,
2666.0,,,37.505,0.471,,
2666.1,,,37.273,0.427,,
2666.2,,,34.944,0.404,,
2666.3,,,34.147,0.404,,
2666.4,,,34.252,0.416,,
2666.5,,,36.172,0.407,,
2666.6,,,37.854,0.4,,
2666.7,,,38.077,0.401,,
2666.8,,,37.638,0.401,,
2666.9,,,36.397,0.398,,
2667.0,,,39.412,0.4,,
2667.1,,,38.91,0.401,,
2667.2,,,38.273,0.406,,
2667.3,,,40.263,0.407,,
2667.4,,,38.041,0.409,,
2667.5,,,39.009,0.41,,
2667.6,,,36.904,0.41,,
2667.7,,,36.339,0.41,,
2667.8,,,34.791,0.409,,
2667.9,,,36.394,0.406,,
2668.0,,,37.824,0.411,,
2668.1,,,37.682,0.416,,
2668.2,,,35.058,0.418,,
2668.3,,,36.302,0.422,,
2668.4,,,39.87,0.425,,
2668.5,,,38.366,0.418,,
2668.6,,,37.248,0.414,,
2668.7,,,37.331,0.41,,
2668.8,,,35.024,0.41,,
2668.9,,,35.591,0.409,,
2669.0,,,34.048,0.412,,
2669.1,,,34.357,0.414,,
2669.2,,,35.993,0.412,,
2669.3,,,35.417,0.411,,
2669.4,,,34.991,0.412,,
2669.5,,,34.486,0.417,,
2669.6,,,33.543,0.417,,
2669.7,,,34.538,0.419,,
2669.8,,,35.253,0.418,,
2669.9,,,32.979,0.419,,
2670.0,,,32.622,0.418,,
2670.1,,,32.181,0.417,,
2670.2,,,32.939,0.417,,
2670.3,,,33.457,0.418,,
2670.4,,,34.27,0.418,,
2670.5,,,33.761,0.418,,
2670.6,,,33.216,0.417,,
2670.7,,,34.241,0.419,,
2670.8,,,35.669,0.418,,
2670.9,,,36.491,0.419,,
2671.0,,,35.011,0.417,,
2671.1,,,31.056,0.417,,
2671.2,,,31.253,0.417,,
2671.3,,,33.094,0.416,,
2671.4,,,36.326,0.417,,
2671.5,,,34.703,0.418,,
2671.6,,,33.113,0.421,,
2671.7,,,30.914,0.42,,
2671.8,,,32.753,0.419,,
2671.9,,,34.121,0.418,,
2672.0,,,33.481,0.415,,
2672.1,,,32.245,0.412,,
2672.2,,,32.652,0.411,,
2672.3,,,31.949,0.413,,
2672.4,,,31.299,0.413,,
2672.5,,,32.872,0.413,,
2672.6,,,35.363,0.409,,
2672.7,,,33.287,0.412,,
2672.8,,,31.831,0.414,,
2672.9,,,30.842,0.413,,
2673.0,,,30.746,0.413,,
2673.1,,,30.623,0.412,,
2673.2,,,30.719,0.415,,
2673.3,,,31.692,0.414,,
2673.4,,,30.659,0.414,,
2673.5,,,30.406,0.41,,
2673.6,,,31.21,0.411,,
2673.7,,,31.75,0.409,,
2673.8,,,32.371,0.412,,
2673.9,,,33.026,0.412,,
2674.0,,,33.903,0.408,,
2674.1,,,33.115,0.412,,
2674.2,,,33.381,0.415,,
2674.3,,,32.187,0.416,,
2674.4,,,31.236,0.412,,
2674.5,,,33.12,0.413,,
2674.6,,,29.859,0.412,,
2674.7,,,29.526,0.411,,
2674.8,,,31.766,0.407,,
2674.9,,,31.763,0.403,,
2675.0,,,31.399,0.403,,
2675.1,,,30.03,0.406,,
2675.2,,,31.054,0.411,,
2675.3,,,30.232,0.417,,
2675.4,,,28.144,0.422,,
2675.5,,,30.387,0.427,,
2675.6,,,33.226,0.429,,
2675.7,,,32.982,0.434,,
2675.8,,,32.911,0.437,,
2675.9,,,31.685,0.434,,
2676.0,,,32.573,0.433,,
2676.1,,,31.986,0.438,,
2676.2,,,30.31,0.444,,
2676.3,,,31.311,0.449,,
2676.4,,,30.658,0.448,,
2676.5,,,28.784,0.449,,
2676.6,,,29.048,0.459,,
2676.7,,,29.311,0.456,,
2676.8,,,28.321,0.457,,
2676.9,,,28.899,0.452,,
2677.0,,,29.307,0.457,,
2677.1,,,27.758,0.465,,
2677.2,,,28.845,0.463,,
2677.3,,,27.73,0.479,,
2677.4,,,29.843,0.472,,
2677.5,,,31.434,0.468,,
2677.6,,,32.557,0.456,,
2677.7,,,32.282,0.458,,
2677.8,,,30.864,0.467,,
2677.9,,,27.698,0.454,,
2678.0,,,28.891,0.455,,
2678.1,,,28.143,0.45,,
2678.2,,,30.62,0.441,,
2678.3,,,31.032,0.448,,
2678.4,,,29.514,0.446,,
2678.5,,,28.984,0.453,,
2678.6,,,28.9,0.459,,
2678.7,,,30.001,0.461,,
2678.8,,,30.913,0.469,,
2678.9,,,33.441,0.463,,
2679.0,,,31.991,0.47,,
2679.1,,,32.771,0.471,,
